variable,type,label_en,label_ro,units,domain,allowed_values,missing_allowed,role,public_release,derivation
pcoma_c_reconstruction_component,binary,Reconstructive clipping component,Componentă de reconstrucție cu clip,flag,endpoint_source,0/1,0,endpoint source,yes,
temporary_clip_cumulative_sec,numeric,Cumulative temporary occlusion duration,Durata cumulativă a ocluziei temporare,seconds,endpoint_source,>=0,1,endpoint source,yes,
clip_reposition_count,integer,Number of clip repositioning attempts,Numărul repoziționărilor clipului,count,endpoint_source,>=0,1,endpoint source,yes,
flow_rescue_manoeuvre_flag,binary,Any flow-rescue manoeuvre,Orice manevră de restabilire a fluxului,flag,endpoint_source,0/1,0,endpoint source,yes,
rupture_escalation_flag,binary,Intraoperative rupture requiring escalation of vascular control,Ruptură intraoperatorie cu escaladarea controlului vascular,flag,endpoint_source,0/1,0,endpoint source,yes,
derived_high_complexity_case,binary,Manuscript-defined high-complexity phenotype,Fenotip de complexitate înaltă definit în manuscris,flag,endpoint,0/1,0,target,yes,"At least two components, or clip reposition count >=3, or any flow rescue"
postop_imaging_time_hours,numeric,Time from procedure to MRI-DWI or CT,Timpul de la procedură la RMN-DWI sau CT,hours,endpoint_source,>=0,1,endpoint source,yes,
new_postop_dwi_lesion_flag,binary,New postoperative diffusion-restricted lesion,Leziune postoperatorie nouă cu restricție de difuzie,flag,endpoint_source,0/1,1,endpoint source,yes,
new_postop_ct_hypodensity_flag,binary,New postoperative CT hypodensity,Hipodensitate CT postoperatorie nouă,flag,endpoint_source,0/1,1,endpoint source,yes,
new_postop_ischaemic_deficit_flag,binary,New neurological deficit attributable to procedural ischaemia,Deficit neurologic nou atribuit ischemiei procedurale,flag,endpoint_source,0/1,1,endpoint source,yes,
lesion_anatomically_concordant_flag,binary,Lesion lies in a prespecified PComA/P1/PCA/AChA/perforator territory,Leziune într-un teritoriu PComA/P1/PCA/AChA/perforant prespecificat,flag,endpoint_source,0/1,1,endpoint source,yes,
preexisting_infarct_flag,binary,Pre-existing infarction explains the finding,Infarct preexistent care explică leziunea,flag,endpoint_exclusion,0/1,0,endpoint source,yes,
delayed_cerebral_ischaemia_flag,binary,Delayed cerebral ischaemia,Ischemie cerebrală întârziată,flag,endpoint_exclusion,0/1,0,endpoint source,yes,
vasospasm_related_infarct_flag,binary,Vasospasm-related infarction,Infarct asociat vasospasmului,flag,endpoint_exclusion,0/1,0,endpoint source,yes,
venous_infarction_flag,binary,Venous infarction,Infarct venos,flag,endpoint_exclusion,0/1,0,endpoint source,yes,
nonprocedural_embolic_lesion_flag,binary,Non-procedural embolic lesion,Leziune embolică non-procedurală,flag,endpoint_exclusion,0/1,0,endpoint source,yes,
ischaemia_mechanism_indeterminate_flag,binary,Indeterminate ischaemic mechanism,Mecanism ischemic nedeterminat,flag,endpoint_exclusion,0/1,0,endpoint source,yes,
derived_procedure_related_ischemia_flag,binary,Adjudicated procedure-related ischaemic injury,Leziune ischemică procedurală adjudecată,flag,endpoint,0/1,0,target,yes,Strict imaging/clinical rule after exclusions
time_to_first_improvement_days,numeric,Time to first CN III improvement,Timp până la prima ameliorare a nervului III,days,outcome,>=0,1,outcome,yes,
time_to_complete_recovery_days,numeric,Time to complete CN III recovery,Timp până la recuperarea completă a nervului III,days,outcome,>=0,1,outcome,yes,
cn3_last_assessment_days,numeric,Time to last documented CN III assessment,Timp până la ultima evaluare documentată a nervului III,days,outcome,>=0,1,censoring,yes,
cn3_complete_recovery_event,binary,Complete CN III recovery event,Eveniment de recuperare completă a nervului III,flag,outcome,0/1,1,event,yes,
cn3_complete_recovery_90d,binary,Complete recovery by 90 days,Recuperare completă la 90 de zile,flag,outcome,0/1,1,outcome,yes,
cn3_complete_recovery_6m,binary,Complete recovery by 6 months,Recuperare completă la 6 luni,flag,outcome,0/1,1,outcome,yes,
cn3_complete_recovery_12m,binary,Complete recovery by 12 months,Recuperare completă la 12 luni,flag,outcome,0/1,1,target,yes,
cn3_complete_recovery_24m,binary,Complete recovery by 24 months,Recuperare completă la 24 luni,flag,outcome,0/1,1,outcome,yes,
death_before_cn3_recovery,binary,Death before complete recovery,Deces înaintea recuperării complete,flag,censoring,0/1,0,censoring,yes,
death_time_days,numeric,Time to death after clipping,Timp până la deces după clipping,days,censoring,>=0,1,censoring,yes,
cn3_censoring_reason,categorical,Reason for censoring,Motivul cenzurării,NA,censoring,complete recovery/12-month administrative/last follow-up/death/LTFU,1,censoring,yes,
mrs_90d,integer,Modified Rankin Scale at 90 days,Scor Rankin modificat la 90 de zile,0-6,outcome,0-6,1,ordinal target,yes,
mrs_90d_assessment_day,numeric,Day of the 90-day mRS assessment,Ziua evaluării mRS la 90 de zile,days,outcome,>=0,1,eligibility,yes,
mrs_90d_assessment_mode,categorical,Mode of 90-day mRS assessment,Modalitatea evaluării mRS la 90 de zile,NA,outcome,in-person/telephone/record review,1,metadata,yes,
mrs_90d_window_eligible_flag,binary,Assessment falls within 76-104 days or approved equivalent,Evaluare în fereastra 76-104 zile sau echivalent aprobat,flag,outcome,0/1,0,eligibility,yes,
derived_poor_outcome_90d,binary,mRS greater than 2 at 90 days,mRS mai mare de 2 la 90 de zile,flag,outcome,0/1,1,binary target,yes,mrs_90d > 2 among eligible assessments
derived_cn3_nonrecovery_12m,binary,Persistent CN III dysfunction at 12 months,Disfuncție persistentă a nervului III la 12 luni,flag,outcome,0/1,1,landmark target,yes,1 - cn3_complete_recovery_12m among eligible palsy cases
